latitude;longitude;altitude;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
45.596367;6.447786;381.9;0;0;1247;0;184.93;9;real;
45.596544;6.447833;382.03;0;0;1247;0.02;184.91;;;
45.596719;6.447889;382.08;0;0;1247;0.04;184.89;;;
45.596897;6.447944;382.09;0;0;1247;0.06;184.87;;;
45.597072;6.448003;382.09;0;0;1247;0.08;184.85;;;
45.597247;6.448058;382.02;-1;0;1247;0.1;184.83;;;
45.597422;6.448117;381.86;-1;0;1247;0.12;184.81;;;
45.597772;6.448231;381.42;-2;0;1247;0.16;184.77;;;
45.59795;6.448286;380.65;-3;0;1247;0.18;184.75;;;
45.598125;6.448344;379.92;-3;0;1247;0.2;184.73;;;
45.5983;6.4484;379.03;-2;0;1247;0.22;184.71;;;
45.598475;6.448453;378.16;-2;0;1247;0.24;184.69;;;
45.598653;6.448506;377.65;-1;0;1247;0.26;184.67;;;
45.599006;6.448608;377.32;-1;0;1247;0.3;184.63;;;
45.599181;6.448661;377.13;-1;0;1247;0.32;184.61;10;;
45.599356;6.448714;376.88;0;0;1247;0.34;184.59;;;
45.599533;6.448767;376.65;0;0;1247;0.36;184.57;;;
45.599708;6.448831;376.52;0;0;1247;0.38;184.55;;;
45.599872;6.448931;376.47;0;0;1247;0.4;184.53;;;
45.600019;6.449078;377.01;0;0;1247;0.42;184.51;;;
45.600178;6.4492;377.68;0;1;1246;0.44;184.49;;;
45.600347;6.449283;377.76;0;1;1246;0.46;184.47;;;
45.600522;6.449347;377.79;0;1;1246;0.48;184.45;;;
45.6007;6.449383;377.77;0;1;1246;0.5;184.43;;;
45.600878;6.449375;377.56;-1;1;1246;0.52;184.41;;;
45.601056;6.449328;376.87;-1;1;1246;0.54;184.39;;;
45.601589;6.449392;375.3;-2;1;1246;0.6;184.33;;;
45.601764;6.449447;375.3;-1;1;1246;0.62;184.31;;;
45.601939;6.449503;375.3;-1;1;1246;0.64;184.29;;;
45.602117;6.449556;375.32;0;1;1246;0.66;184.27;;;
45.602292;6.449608;375.3;0;1;1246;0.68;184.25;;;
45.602467;6.449664;375.31;0;1;1246;0.7;184.23;;;
45.602644;6.449717;375.33;0;1;1246;0.72;184.21;;;
45.602819;6.449769;375.31;0;1;1246;0.74;184.19;;;
45.602994;6.449825;375.31;0;1;1246;0.76;184.17;;;
45.603172;6.449881;375.26;0;1;1246;0.78;184.15;;;
45.603347;6.449933;375.29;0;1;1246;0.8;184.13;;;
45.603522;6.449989;375.32;0;1;1246;0.82;184.11;;;
45.603697;6.450044;375.28;0;1;1246;0.84;184.09;;;
45.603875;6.450097;375.3;0;1;1246;0.86;184.07;;;
45.60405;6.450153;375.34;0;1;1246;0.88;184.05;;;
45.604225;6.450206;375.32;0;1;1246;0.9;184.03;;;
45.604403;6.450258;375.32;0;1;1246;0.92;184.01;;;
45.604578;6.450311;375.31;-1;1;1246;0.94;183.99;;;
45.604753;6.450367;375.32;-1;1;1246;0.96;183.97;;;
45.604931;6.450419;375.22;-1;1;1246;0.98;183.95;;;
45.605106;6.450472;375.1;-1;1;1246;1;183.93;;;
45.605283;6.450525;374.9;-1;1;1246;1.02;183.91;;;
45.605458;6.450581;374.67;-1;1;1246;1.04;183.89;;;
45.605633;6.450633;374.44;-1;1;1246;1.06;183.87;;;
45.605811;6.450686;374.19;-1;1;1246;1.08;183.85;;;
45.606689;6.450958;373.69;0;1;1246;1.18;183.75;;;
45.606864;6.451017;373.55;1;1;1246;1.2;183.73;;;
45.607039;6.451075;373.39;1;1;1246;1.22;183.71;;;
45.607214;6.451133;373.37;2;2;1245;1.24;183.69;;;
45.607389;6.451194;373.52;2;2;1245;1.26;183.67;;;
45.607564;6.451256;373.92;3;2;1245;1.28;183.65;;;
45.607739;6.451322;374.74;3;2;1245;1.3;183.63;;;
45.607911;6.451392;375.82;3;3;1244;1.32;183.61;;;
45.608083;6.451461;376.82;3;4;1243;1.34;183.59;;;
45.608258;6.451531;377.87;3;5;1242;1.36;183.57;;;
45.608431;6.4516;378.56;3;6;1241;1.38;183.55;;;
45.608606;6.451669;379.06;2;6;1241;1.4;183.53;;;
